Malia F. Mason,21,39
Roland Imhoff,-1
Simone Tang,3,-1,
Jordan R. Axt,10,25
Jennifer Susan McClung,3,-1,
Melissa T. Buelow,13,-1,
Alek Chakroff,7,-1,
Peter V. Zunick,2,-1,
Colleen M. Cowgill,2,-1,
Nicholas D. Duran,10,-1
Elze G. Ufkes,8,-1
Dries H. Bostyn,5,-1,
Jae-Eun Namkoong,11,-1
Pascal Pansu,12,20
Andrew Luttrell,6,-1,
Sarah Ariel Lamer,,-1,
Connson C. Locke,4,-1,
Ruthie Pliskin,-1
Elaine O. Cheung,7,-1,
Jennifer L. Rennels,9,-1,
Abigail B. Sussman,8,-1,
Uriel Haran,5,-1,
Jochim Hansen,16,27
Jan-Willem van Prooijen,22,37
Yuwei Jiang,13,12
Kendall J. Eskine,5,-1,
Dmitrij Agroskin,7,-1,
Zhansheng Chen,15,25
Monica Biernat,33,61
Robert G. Franklin,14,-1,
Mark Tarrant,19,32
Philipp Süssenbach,9,14
Andreas Kappes,8,-1,
Daniel C. Feiler,4,-1,
Tessa V. West,21,36
Andrew R. Todd,20,34
Karl-Andrew Woltin,6,-1,
Serena Does,4,-1,
S. Christian Wheeler,20,33
David Tannenbaum,13,-1,
Justin J. Lehmiller,14,24
Philip E. Tetlock,61,54
Eliza Bliss-Moreau,19,-1,
Reginald B. Adams,34,64
Elizabeth J. Parks-Stamm,8,-1,
Anne Maass,41,62
Marijke C. Leliveld,8,-1,
Robert G. Franklin,14,26
Etienne P. LeBel,14,23
Sonia K. Kang,14,22
Mary Steffel,
